instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,created_fvg,end_index
NQ,1m,bear,3,phase1-v1.0.0,2026-07-08 04:06:00-04:00,2026-07-08 04:08:00-04:00,2026-07-08 04:09:00-04:00,-4.5,1,0.3333333333333333,11.25,90.0,85.0,77.5,13.25,0.09859154929577464,0.08450704225352113,53.25,False,3248
NQ,1m,bull,1,phase1-v1.0.0,2026-07-08 04:09:00-04:00,2026-07-08 04:09:00-04:00,2026-07-08 04:10:00-04:00,8.5,1,1.0,8.5,60.0,67.5,71.25,,0.76,0.68,12.5,False,3249
NQ,1m,bear,1,phase1-v1.0.0,2026-07-08 04:09:00-04:00,2026-07-08 04:09:00-04:00,2026-07-08 04:10:00-04:00,-8.5,0,0.0,0.0,60.0,67.5,71.25,,0.24,0.68,12.5,False,3249
NQ,1m,bull,2,phase1-v1.0.0,2026-07-08 04:08:00-04:00,2026-07-08 04:09:00-04:00,2026-07-08 04:10:00-04:00,24.75,2,1.0,11.625,80.0,83.75,80.625,1.25,0.76,0.8181818181818182,30.25,False,3249
NQ,1m,bear,2,phase1-v1.0.0,2026-07-08 04:08:00-04:00,2026-07-08 04:09:00-04:00,2026-07-08 04:10:00-04:00,-24.75,0,0.0,0.0,80.0,83.75,80.625,1.25,0.24,0.8181818181818182,30.25,False,3249
NQ,1m,bull,3,phase1-v1.0.0,2026-07-08 04:07:00-04:00,2026-07-08 04:09:00-04:00,2026-07-08 04:10:00-04:00,24.0,3,1.0,8.5,60.0,67.5,71.25,7.25,0.76,0.49740932642487046,48.25,False,3249
NQ,1m,bear,3,phase1-v1.0.0,2026-07-08 04:07:00-04:00,2026-07-08 04:09:00-04:00,2026-07-08 04:10:00-04:00,-24.0,0,0.0,0.0,60.0,67.5,71.25,7.25,0.24,0.49740932642487046,48.25,False,3249
NQ,1m,bull,1,phase1-v1.0.0,2026-07-08 04:10:00-04:00,2026-07-08 04:10:00-04:00,2026-07-08 04:11:00-04:00,13.25,1,1.0,13.25,90.0,90.0,85.0,,0.9705882352941176,0.7794117647058824,17.0,False,3250
NQ,1m,bear,1,phase1-v1.0.0,2026-07-08 04:10:00-04:00,2026-07-08 04:10:00-04:00,2026-07-08 04:11:00-04:00,-13.25,0,0.0,0.0,90.0,90.0,85.0,,0.029411764705882353,0.7794117647058824,17.0,False,3250
NQ,1m,bull,2,phase1-v1.0.0,2026-07-08 04:09:00-04:00,2026-07-08 04:10:00-04:00,2026-07-08 04:11:00-04:00,21.0,2,1.0,10.875,75.0,78.75,78.125,7.0,0.9705882352941176,0.711864406779661,29.5,False,3250
NQ,1m,bear,2,phase1-v1.0.0,2026-07-08 04:09:00-04:00,2026-07-08 04:10:00-04:00,2026-07-08 04:11:00-04:00,-21.0,0,0.0,0.0,75.0,78.75,78.125,7.0,0.029411764705882353,0.711864406779661,29.5,False,3250
