family,id,timeframe,event,ts_et,deactivation_reason
RB,RB2-004133,1,ACTIVATED,2026-07-14 21:15:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004133,1,FIRST_TAP,2026-07-14 21:15:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004133,1,DEACTIVATED,2026-07-15 04:23:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004134,1,SOURCE,2026-07-14 21:14:00-04:00,
RB,RB2-004135,1,SOURCE,2026-07-14 21:16:00-04:00,
RB,RB2-004136,1,SOURCE,2026-07-14 21:16:00-04:00,
RB,RB2-004137,1,SOURCE,2026-07-14 21:17:00-04:00,
RB,RB2-004138,1,SOURCE,2026-07-14 21:18:00-04:00,
RB,RB2-004139,1,SOURCE,2026-07-14 21:18:00-04:00,
RB,RB2-004140,1,SOURCE,2026-07-14 21:19:00-04:00,
RB,RB2-004141,1,SOURCE,2026-07-14 21:19:00-04:00,
RB,RB2-004142,1,SOURCE,2026-07-14 21:20:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004142,1,ACTIVATED,2026-07-14 21:23:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004142,1,FIRST_TAP,2026-07-14 21:21:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004142,1,DEACTIVATED,2026-07-14 21:44:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004143,1,SOURCE,2026-07-14 21:20:00-04:00,
RB,RB2-004144,1,SOURCE,2026-07-14 21:21:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004144,1,ACTIVATED,2026-07-14 21:24:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004144,1,FIRST_TAP,2026-07-14 21:43:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004144,1,DEACTIVATED,2026-07-14 21:43:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004145,1,SOURCE,2026-07-14 21:22:00-04:00,
RB,RB2-004146,1,SOURCE,2026-07-14 21:23:00-04:00,
