amd,tpo,vwap,n,wk,pf1,pf2,net1,net2,mdd1,mdd2,py1,py2
AMD4,gt1ATR_POC,none,2739,6.579615648592999,1.252664813973589,1.1599148655583946,375.3711830643596,248.31566612871924,-27.89294907132939,-42.13610747151481,7,7
AMD4,gt1ATR_POC,K1_930,646,1.551818805765271,1.3672361251557572,1.2437750937994634,110.8798556327956,77.24291126559122,-20.884523043796,-24.969755372744764,7,6
AMD5,none,none,3448,8.28277282086479,1.228560476654815,1.1355952326003222,411.10703622048646,254.5871724409729,-30.29244564123826,-35.36539128247625,7,7
AMD5,none,K1_930,998,2.397391901166781,1.3358737508200769,1.2185250345090608,158.59204588588415,108.24749177176834,-34.082561739786335,-40.3368234795726,7,7
AMD5,none,K3_LON_EMA,469,1.1266300617707619,1.4668885298747147,1.3330422648696685,86.6129758266255,64.617551653251,-17.201751126269908,-19.695602252539807,7,6
AMD5,none,930_and_EMA,528,1.268359643102265,1.3339939007793398,1.2240616138368374,83.97208043305987,58.891460866119736,-18.860064632340762,-26.36692926468142,6,6
AMD5,in_value,none,1230,2.954701441317776,1.2716980634231176,1.1708114503265796,168.28600437872956,110.59810875745914,-43.833030869288386,-48.21690710428098,7,7
AMD5,in_value,K1_930,498,1.1962937542896364,1.3640811074681576,1.2431538674977574,83.5649746105777,58.611249221155404,-27.54300210220474,-32.64680420440946,6,5
AMD5,below_POC,none,1871,4.494509265614276,1.2632827992335518,1.1689386002838047,252.41630571494352,169.05061142988697,-21.53172317189547,-25.20447565883844,8,6
AMD5,below_POC,K1_930,509,1.2227179135209334,1.4440468924429704,1.3248733099968388,106.34930401107331,81.54330802214659,-24.139538114825243,-27.389776229650494,7,7
AMD5,above_POC,none,1602,3.848318462594372,1.1784120812282903,1.0876197753746337,152.6702683019152,78.28113660383039,-35.45589343377026,-49.958132123615854,6,5
AMD5,above_POC,K1_930,495,1.1890871654083734,1.2410537755786788,1.1241903647304723,56.338269808839065,30.480439617678122,-17.754587683136336,-20.545170898515323,8,6
AMD5,gt1ATR_POC,none,3045,7.314687714481812,1.2180188144007758,1.1263059825554294,361.9982430243441,219.19228604868815,-34.050927681209146,-38.91245536241806,7,7
